date_time,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-25 00:00:00-05:00,UL,0.0,0.331961095,0.331961095,0.331961095,18000,0.0,0.0
1980-03-26 00:00:00-05:00,UL,0.331961095,0.331961095,0.331961095,0.331961095,0,0.0,0.0
1980-03-27 00:00:00-05:00,UL,0.331961095,0.331961095,0.331961095,0.331961095,0,0.0,0.0
1980-03-28 00:00:00-05:00,UL,0.0,0.318857133,0.318857133,0.318857133,3600,0.0,0.0
1980-03-31 00:00:00-05:00,UL,0.318857133,0.318857133,0.318857133,0.318857133,0,0.0,0.0
1980-04-01 00:00:00-05:00,UL,0.0,0.321041077,0.321041077,0.321041077,10800,0.0,0.0
1980-04-02 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-03 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-07 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-08 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-09 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-10 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-11 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-14 00:00:00-05:00,UL,0.0,0.321041077,0.321041077,0.321041077,3600,0.0,0.0
1980-04-15 00:00:00-05:00,UL,0.321041077,0.321041077,0.321041077,0.321041077,0,0.0,0.0
1980-04-16 00:00:00-05:00,UL,0.0,0.316672951,0.316672951,0.316672951,3600,0.0,0.0
1980-04-17 00:00:00-05:00,UL,0.0,0.31994918,0.31994918,0.31994918,7200,0.0,0.0
1980-04-18 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-21 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-22 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-23 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-24 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-25 00:00:00-05:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-28 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-29 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-04-30 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-05-01 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-05-02 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-05-05 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
1980-05-06 00:00:00-04:00,UL,0.31994918,0.31994918,0.31994918,0.31994918,0,0.0,0.0
